Sächsisch,Deutsch
nuddeln,schlechte Musik machen; es läuft so vor sich hin
nuff,hinauf/hochgehen/klettern
nuschl´n,undeutlich sprechen
N´ahmd,Guten Abend
Och´n; Oochn,Augen
ohm,oben
ooch,auch
Palaver,Gerede; Geschwätz
pietschen; biedschen,einen trinken
Raasche,Jähzorn; Aufregung; Wut
Rabbaz,Unruhe; Lärm machen
Raddadd´n,Geld
Radscho; Radschoh; Rahdscho,Radio
radz´n,schlafen
rankern,unruhig sitzen oder liegen
Reef´m,Reifen
Rennsemml´n; Rennsämmln,Füße; Sportschuhe
rumblähgn,herumschreien
rumguddschn,(mit Auto) unterwegs sein
rumwursteln; rumwurschteln,kramen; etwas machen
Runks,ungehobelter Kerl; Grobian
Ränftel,Anfangs- und Endstück des Brotes
Schderze,Topfdeckel
schdobb´m,stopfen
Schdohb,Trinkgeld
Schebbdäggl,Schirmmütze
scheen,schön
Schlaz,großer Riß im Gewebe
Schmieche,Gliedermaßstab (Zollstock)
Schpeggfedd,Speckfett
Schpeggfeddbämme,Speckfettbrotscheibe; Schmalzbrotscheibe
schwoofen,ausgehen; tanzen gehen
schwäbborn,vergießen; was verschütten
spillerig,schwächlich; mager
Striezel,Weihnachtsstollen
trieseln,Gestricktes auftrennen
urschn; urscheln,verschwenderisch mit etwas umgehen
verblembern,etwas vergeuden; sinnlos vertun (z.B. Zeit)
vorrsiebd,verlegt; verbummelt
(dä) wännsdorr,die Kinder
wemr,wenn man
zecken; zeckeln,sich gegenseitig oder jemanden necken; ärgern
Ziesche,Ziege
zordeppern,zerstören; etwas kaputt machen
ä boor Schlabbm,ein Paar Pantoffeln
ä Rungksen,ein großes Stück Brot
ä Schälchn Heeßn,eine Tasse Kaffee
Ärbern; Ährborn,Kartoffeln
Ärbernbabbe,Kartoffelbrei
Äscha!,"Verwunderung (Ach! Sag bloß!?) oder Verneinung, Ablehnung, Widerspruch"
